Errors,Epochs,Denominator,Algorithm,Parameters,Clusters
0.16738459249538268,12,compression,LAIS,"(0.25, 1)",3
0.2022555147358057,12,compression,LAIS,"(0.25, 1)",21
0.11472608296078834,12,compression,LAIS,"(0.25, 1)",50
0.14658250819603938,12,compression,LAIS,"(0.25, 1)",200
0.14171725017523124,12,compression,LAIS,"(0.25, 1)",3
0.32552975059674144,12,compression,LAIS,"(0.25, 1)",21
0.1321425089674535,12,compression,LAIS,"(0.25, 1)",50
0.22007945308612525,12,compression,LAIS,"(0.25, 1)",200
0.11345901463804986,12,compression,LAIS,"(0.25, 1)",3
0.2471839721467924,12,compression,LAIS,"(0.25, 1)",21
0.1076487176827254,12,compression,LAIS,"(0.25, 1)",50
0.06829182731140668,12,compression,LAIS,"(0.25, 1)",200
0.3536893248297809,12,compression,LAIS,"(0.25, 1)",3
0.26533126103144866,12,compression,LAIS,"(0.25, 1)",21
0.23118342881751505,12,compression,LAIS,"(0.25, 1)",50
0.17155765226080782,12,compression,LAIS,"(0.25, 1)",200
0.15019781322232895,12,compression,LAIS,"(0.25, 1)",3
0.09267359797827965,12,compression,LAIS,"(0.25, 1)",21
0.1498168442712296,12,compression,LAIS,"(0.25, 1)",50
0.29901570358394675,12,compression,LAIS,"(0.25, 1)",200
0.18897398944657726,12,compression,LAIS,"(0.25, 1)",3
0.1925771538132408,12,compression,LAIS,"(0.25, 1)",21
0.2513509351106975,12,compression,LAIS,"(0.25, 1)",50
0.16717398739102288,12,compression,LAIS,"(0.25, 1)",200
0.19132600459971036,12,compression,LAIS,"(0.25, 1)",3
0.27410677893626667,12,compression,LAIS,"(0.25, 1)",21
0.2863341051923146,12,compression,LAIS,"(0.25, 1)",50
0.18007997414941873,12,compression,LAIS,"(0.25, 1)",200
0.09382677332842126,12,compression,LAIS,"(0.25, 1)",3
0.1390005939196802,12,compression,LAIS,"(0.25, 1)",21
0.3248183974646076,12,compression,LAIS,"(0.25, 1)",50
0.2231432871237861,12,compression,LAIS,"(0.25, 1)",200
0.2483705036545781,12,compression,LAIS,"(0.25, 1)",3
0.12369998233368831,12,compression,LAIS,"(0.25, 1)",21
0.2523389469745404,12,compression,LAIS,"(0.25, 1)",50
0.1573492634183491,12,compression,LAIS,"(0.25, 1)",200
0.26388366754364284,12,compression,LAIS,"(0.25, 1)",3
0.19129572131165146,12,compression,LAIS,"(0.25, 1)",21
0.08868982160342127,12,compression,LAIS,"(0.25, 1)",50
0.08216456501695593,12,compression,LAIS,"(0.25, 1)",200
0.17033384589126804,12,compression,LAIS,"(0.25, 1)",3
0.18120823114700846,12,compression,LAIS,"(0.25, 1)",21
0.25265039319278493,12,compression,LAIS,"(0.25, 1)",50
0.17369738365859344,12,compression,LAIS,"(0.25, 1)",200
0.3352310645360997,12,compression,LAIS,"(0.25, 1)",3
0.2711909733031031,12,compression,LAIS,"(0.25, 1)",21
0.28696648787023343,12,compression,LAIS,"(0.25, 1)",50
0.15377393220105257,12,compression,LAIS,"(0.25, 1)",200
0.15859140876368935,12,compression,LAIS,"(0.25, 1)",3
0.27160984624267515,12,compression,LAIS,"(0.25, 1)",21
0.0875428838519056,12,compression,LAIS,"(0.25, 1)",50
0.12269019204483947,12,compression,LAIS,"(0.25, 1)",200
0.19864211175962057,12,compression,LAIS,"(0.25, 1)",3
0.06712052111730046,12,compression,LAIS,"(0.25, 1)",21
0.17662336198959014,12,compression,LAIS,"(0.25, 1)",50
0.25186106865981095,12,compression,LAIS,"(0.25, 1)",200
0.14803857323817946,12,compression,LAIS,"(0.25, 1)",3
0.11080458180945549,12,compression,LAIS,"(0.25, 1)",21
0.1531335884641317,12,compression,LAIS,"(0.25, 1)",50
0.18150858174603748,12,compression,LAIS,"(0.25, 1)",200
0.13638938065464862,12,compression,LAIS,"(0.25, 1)",3
0.15439966824784507,12,compression,LAIS,"(0.25, 1)",21
0.10513459707042778,12,compression,LAIS,"(0.25, 1)",50
0.12407182331917577,12,compression,LAIS,"(0.25, 1)",200
0.23886187255228847,12,compression,LAIS,"(0.25, 1)",3
0.22123707264113895,12,compression,LAIS,"(0.25, 1)",21
0.14524876826532013,12,compression,LAIS,"(0.25, 1)",50
0.08721174457096992,12,compression,LAIS,"(0.25, 1)",200
0.27543570812689355,12,compression,LAIS,"(0.25, 1)",3
0.15820243895927208,12,compression,LAIS,"(0.25, 1)",21
0.34862535055100274,12,compression,LAIS,"(0.25, 1)",50
0.19729354050539855,12,compression,LAIS,"(0.25, 1)",200
0.3232537505752879,12,compression,LAIS,"(0.25, 1)",3
0.08187204122481787,12,compression,LAIS,"(0.25, 1)",21
0.274980530788154,12,compression,LAIS,"(0.25, 1)",50
0.1513333681717773,12,compression,LAIS,"(0.25, 1)",200
0.1820616848064352,12,compression,LAIS,"(0.25, 1)",3
0.21311452666249547,12,compression,LAIS,"(0.25, 1)",21
0.12528572615801897,12,compression,LAIS,"(0.25, 1)",50
