,Errors,Epochs,Denominator,Algorithm,Parameters
0,5.110323595769667,24,-,HAM,"(0.25, 1)"
1,3.9846418656038263,24,-,HAM,"(0.5, 1)"
2,1.363526489960404,24,-,HAM,"(1, 3)"
3,4.332205550933917,24,-,HAM,"(1, 5)"
4,0.2751578712875429,12,spatial,LAIS,"(0.25, 1)"
5,5.743121246127865,12,-,HAM,"(0.25, 1)"
6,0.22241068154337454,12,spatial,LAIS,"(0.5, 1)"
7,6.9964815648375795,12,-,HAM,"(0.5, 1)"
8,0.17742075894433104,12,spatial,LAIS,"(1, 3)"
9,2.406857598823628,12,-,HAM,"(1, 3)"
10,0.116945330919228,12,spatial,LAIS,"(1, 5)"
11,7.223368444674586,12,-,HAM,"(1, 5)"
12,0.5528054696182959,12,temporal,LAIS,"(0.25, 1)"
13,1.2685214256023425,12,temporal,LAIS,"(0.5, 1)"
14,1.4312588691098835,12,temporal,LAIS,"(1, 3)"
15,2.092768140158844,12,temporal,LAIS,"(1, 5)"
16,0.11376341477420394,12,all,LAIS,"(0.25, 1)"
17,0.1850212854632493,12,all,LAIS,"(0.5, 1)"
18,0.07353222834573885,12,all,LAIS,"(1, 3)"
19,0.13364416801474413,12,all,LAIS,"(1, 5)"
20,4.620810977454349,24,-,HAM,"(0.25, 1)"
21,4.8307898313159106,24,-,HAM,"(0.5, 1)"
22,1.1297226635239812,24,-,HAM,"(1, 3)"
23,2.8004844616226867,24,-,HAM,"(1, 5)"
24,0.20355240779332165,12,spatial,LAIS,"(0.25, 1)"
25,6.476753567009874,12,-,HAM,"(0.25, 1)"
26,0.12741085095181515,12,spatial,LAIS,"(0.5, 1)"
27,7.740283748067402,12,-,HAM,"(0.5, 1)"
28,0.1467838706903649,12,spatial,LAIS,"(1, 3)"
29,1.9683671564864225,12,-,HAM,"(1, 3)"
30,0.14338278602562304,12,spatial,LAIS,"(1, 5)"
31,6.786459630708491,12,-,HAM,"(1, 5)"
32,0.51190471669963,12,temporal,LAIS,"(0.25, 1)"
33,1.9009794660109136,12,temporal,LAIS,"(0.5, 1)"
34,0.3022775004771757,12,temporal,LAIS,"(1, 3)"
35,1.520089902394168,12,temporal,LAIS,"(1, 5)"
36,0.16806239678300314,12,all,LAIS,"(0.25, 1)"
37,0.2009724038688286,12,all,LAIS,"(0.5, 1)"
38,0.24130690073861846,12,all,LAIS,"(1, 3)"
39,0.11638921136576115,12,all,LAIS,"(1, 5)"
40,3.5962676648501395,24,-,HAM,"(0.25, 1)"
41,4.5056157585313255,24,-,HAM,"(0.5, 1)"
42,1.2896897618351888,24,-,HAM,"(1, 3)"
43,5.3473413504289935,24,-,HAM,"(1, 5)"
44,0.2310183789698717,12,spatial,LAIS,"(0.25, 1)"
45,5.459406627095669,12,-,HAM,"(0.25, 1)"
46,0.15364217982984885,12,spatial,LAIS,"(0.5, 1)"
47,5.929667389651491,12,-,HAM,"(0.5, 1)"
48,0.12898967604261982,12,spatial,LAIS,"(1, 3)"
49,2.110341895125188,12,-,HAM,"(1, 3)"
50,0.1453671859650799,12,spatial,LAIS,"(1, 5)"
51,6.811298088573755,12,-,HAM,"(1, 5)"
52,1.6456799880635598,12,temporal,LAIS,"(0.25, 1)"
53,0.8086696152613685,12,temporal,LAIS,"(0.5, 1)"
54,1.736986856280314,12,temporal,LAIS,"(1, 3)"
55,0.8537969585037868,12,temporal,LAIS,"(1, 5)"
56,0.19738415731101605,12,all,LAIS,"(0.25, 1)"
57,0.20560907815712665,12,all,LAIS,"(0.5, 1)"
58,0.17829948451193414,12,all,LAIS,"(1, 3)"
59,0.2715596500638795,12,all,LAIS,"(1, 5)"
60,3.7684650631691134,24,-,HAM,"(0.25, 1)"
61,4.74179743715848,24,-,HAM,"(0.5, 1)"
62,1.143731973186584,24,-,HAM,"(1, 3)"
63,4.968878706997937,24,-,HAM,"(1, 5)"
64,0.1353891208265101,12,spatial,LAIS,"(0.25, 1)"
65,6.625054778169671,12,-,HAM,"(0.25, 1)"
66,0.13065968861978774,12,spatial,LAIS,"(0.5, 1)"
67,7.427886288995871,12,-,HAM,"(0.5, 1)"
68,0.3994584809941076,12,spatial,LAIS,"(1, 3)"
69,2.046940494274792,12,-,HAM,"(1, 3)"
70,0.07398073283183075,12,spatial,LAIS,"(1, 5)"
71,6.972907102790414,12,-,HAM,"(1, 5)"
72,0.566017883310835,12,temporal,LAIS,"(0.25, 1)"
73,1.1531580523514122,12,temporal,LAIS,"(0.5, 1)"
74,2.009496852257075,12,temporal,LAIS,"(1, 3)"
75,0.5270274121936798,12,temporal,LAIS,"(1, 5)"
76,0.22472432267067535,12,all,LAIS,"(0.25, 1)"
77,0.12455788971333788,12,all,LAIS,"(0.5, 1)"
78,0.1674344176252979,12,all,LAIS,"(1, 3)"
79,0.13762373390450544,12,all,LAIS,"(1, 5)"
80,3.9880209170397465,24,-,HAM,"(0.25, 1)"
81,4.200839683064049,24,-,HAM,"(0.5, 1)"
82,1.0122692430609088,24,-,HAM,"(1, 3)"
83,5.395448944425984,24,-,HAM,"(1, 5)"
84,0.14172197281709953,12,spatial,LAIS,"(0.25, 1)"
85,6.143246653158211,12,-,HAM,"(0.25, 1)"
86,0.13277821523960415,12,spatial,LAIS,"(0.5, 1)"
87,6.007698199449253,12,-,HAM,"(0.5, 1)"
88,0.14229868581927282,12,spatial,LAIS,"(1, 3)"
89,2.270474649060541,12,-,HAM,"(1, 3)"
90,0.1125960480612254,12,spatial,LAIS,"(1, 5)"
91,3.4728886648176363,12,-,HAM,"(1, 5)"
92,0.7769237399227957,12,temporal,LAIS,"(0.25, 1)"
93,1.0900242819133796,12,temporal,LAIS,"(0.5, 1)"
94,0.17277385368971934,12,temporal,LAIS,"(1, 3)"
95,0.3631964010646954,12,temporal,LAIS,"(1, 5)"
96,0.24145356005641586,12,all,LAIS,"(0.25, 1)"
97,0.2188379292173171,12,all,LAIS,"(0.5, 1)"
98,0.1093644221072703,12,all,LAIS,"(1, 3)"
99,0.2146587081357557,12,all,LAIS,"(1, 5)"
100,4.231074135585582,24,-,HAM,"(0.25, 1)"
101,4.712963066512837,24,-,HAM,"(0.5, 1)"
102,0.9545166143776832,24,-,HAM,"(1, 3)"
103,9.076677111281962,24,-,HAM,"(1, 5)"
104,0.20697589133169755,12,spatial,LAIS,"(0.25, 1)"
105,5.757574608700668,12,-,HAM,"(0.25, 1)"
106,0.15056405465562256,12,spatial,LAIS,"(0.5, 1)"
107,6.8373689279698455,12,-,HAM,"(0.5, 1)"
108,0.05394607605393335,12,spatial,LAIS,"(1, 3)"
109,1.9405030991088037,12,-,HAM,"(1, 3)"
110,0.14858733530675758,12,spatial,LAIS,"(1, 5)"
111,7.362992405480207,12,-,HAM,"(1, 5)"
112,1.7425070762771095,12,temporal,LAIS,"(0.25, 1)"
113,1.1703451063837864,12,temporal,LAIS,"(0.5, 1)"
114,0.8233122596206062,12,temporal,LAIS,"(1, 3)"
115,0.2918217013138213,12,temporal,LAIS,"(1, 5)"
116,0.12349341452564752,12,all,LAIS,"(0.25, 1)"
117,0.1027841503620333,12,all,LAIS,"(0.5, 1)"
118,0.08552485263543716,12,all,LAIS,"(1, 3)"
119,0.23984612733297045,12,all,LAIS,"(1, 5)"
120,4.288953669938513,24,-,HAM,"(0.25, 1)"
121,4.3136013576010015,24,-,HAM,"(0.5, 1)"
122,0.7435672151105459,24,-,HAM,"(1, 3)"
123,6.0148277113434165,24,-,HAM,"(1, 5)"
124,0.0872038533486171,12,spatial,LAIS,"(0.25, 1)"
125,5.943251780225704,12,-,HAM,"(0.25, 1)"
126,0.07744704454428708,12,spatial,LAIS,"(0.5, 1)"
127,7.113072174309803,12,-,HAM,"(0.5, 1)"
128,0.041440896169617464,12,spatial,LAIS,"(1, 3)"
129,2.328994093786513,12,-,HAM,"(1, 3)"
130,0.15941878901628626,12,spatial,LAIS,"(1, 5)"
131,3.4570178626013144,12,-,HAM,"(1, 5)"
